4815.89 	 2773.32 
4838.65 	 2770.74 
4861.59 	 2769.08 
4884.37 	 2765.94 
4906.90 	 2761.32 
4929.08 	 2755.26 
4950.82 	 2747.77 
4972.04 	 2738.89 
4992.63 	 2728.65 
5012.52 	 2717.10 
5031.61 	 2704.29 
5049.84 	 2690.26 
5067.11 	 2675.08 
5083.37 	 2658.82 
5098.54 	 2641.53 
5112.56 	 2623.30 
5125.37 	 2604.20 
5136.91 	 2584.31 
5147.14 	 2563.72 
5156.01 	 2542.50 
5162.23 	 2520.47 
5165.34 	 2497.68 
5168.45 	 2474.89 
5171.57 	 2452.10 
5174.68 	 2429.31 
5177.79 	 2406.52 
5180.90 	 2383.73 
5184.01 	 2360.94 
5187.12 	 2338.15 
5190.23 	 2315.36 
5191.25 	 2293.72 
5170.34 	 2284.14 
5149.43 	 2274.56 
5128.52 	 2264.97 
5107.61 	 2255.39 
5086.18 	 2248.54 
5063.20 	 2249.69 
5040.23 	 2250.85 
5017.26 	 2252.01 
4994.29 	 2253.16 
4971.32 	 2254.32 
4948.34 	 2255.48 
4925.37 	 2256.63 
4902.40 	 2257.79 
4879.43 	 2258.95 
4856.46 	 2260.10 
4833.48 	 2261.26 
4820.80 	 2270.47 
4826.18 	 2292.83 
4832.99 	 2314.80 
4841.20 	 2336.28 
4850.77 	 2357.19 
4861.66 	 2377.44 
4873.84 	 2396.95 
4887.24 	 2415.64 
4901.82 	 2433.42 
4916.19 	 2451.33 
4924.78 	 2472.56 
4926.27 	 2495.41 
4920.50 	 2517.58 
4908.07 	 2536.81 
4890.23 	 2551.17 
4868.78 	 2559.20 
4845.88 	 2560.20 
4822.89 	 2559.93 
4799.96 	 2561.67 
4777.27 	 2565.40 
4754.99 	 2571.09 
4733.29 	 2578.70 
4712.34 	 2588.16 
4692.28 	 2599.41 
4673.29 	 2612.37 
4655.49 	 2626.93 
4637.86 	 2641.69 
4619.11 	 2655.01 
4599.36 	 2666.78 
4578.73 	 2676.94 
4557.36 	 2685.43 
4535.38 	 2692.18 
4512.93 	 2697.16 
4490.16 	 2700.33 
4499.18 	 2717.13 
4512.48 	 2735.90 
4525.78 	 2754.67 
4539.08 	 2773.43 
4552.38 	 2792.20 
4565.68 	 2810.97 
4578.97 	 2829.73 
4592.27 	 2848.50 
4605.57 	 2867.27 
4618.87 	 2886.03 
4639.97 	 2880.07 
4661.26 	 2871.37 
4682.13 	 2861.70 
4702.53 	 2851.08 
4722.41 	 2839.53 
4741.75 	 2827.08 
4760.49 	 2813.75 
4778.60 	 2799.57 
4796.04 	 2784.57
