574252,40 	5833519,85 	100,00 
574202,34 	5833528,17 	100,00 
574082,10 	5833558,46 	100,00 
573987,63 	5833575,28 	100,00 
573904,94 	5833582,85 	100,00 
574247,37 	5833491,03 	99,00 
574113,50 	5833523,62 	99,00 
574014,75 	5833541,58 	99,00 
573909,92 	5833553,77 	99,00 
573792,62 	5833557,91 	99,00 
573646,43 	5833552,29 	99,00 
574253,08 	5833470,58 	98,00 
574114,77 	5833504,26 	98,00 
574017,23 	5833522,00 	98,00 
573913,84 	5833534,02 	98,00 
573798,08 	5833538,10 	98,00 
573652,13 	5833532,49 	98,00 
574252,88 	5833449,91 	97,00 
574110,12 	5833484,67 	97,00 
574013,79 	5833502,18 	97,00 
573911,84 	5833514,04 	97,00 
573797,62 	5833518,07 	97,00 
573651,91 	5833512,47 	97,00 
574253,65 	5833429,77 	96,00 
574106,44 	5833465,62 	96,00 
574011,33 	5833482,91 	96,00 
573910,81 	5833494,60 	96,00 
573798,13 	5833498,57 	96,00 
573652,67 	5833492,99 	96,00 
574253,94 	5833408,62 	95,00 
574102,29 	5833445,54 	95,00 
574008,39 	5833462,62 	95,00 
573909,31 	5833474,14 	95,00 
573798,17 	5833478,06 	95,00 
573652,96 	5833472,48 	95,00 
573653,30 	5833448,25 	94,00 
573760,47 	5833455,99 	94,00 
573859,39 	5833453,48 	94,00 
574017,11 	5833440,31 	94,00 
574071,58 	5833432,15 	94,00 
574149,25 	5833410,22 	94,00 
574254,39 	5833376,55 	94,00 
573653,57 	5833428,21 	94,00 
573760,94 	5833435,97 	94,00 
573858,30 	5833433,50 	94,00 
574014,80 	5833420,44 	94,00 
574067,36 	5833412,56 	94,00 
574143,48 	5833391,06 	94,00 
574254,68 	5833355,46 	94,00 
573653,85 	5833408,18 	93,00 
573761,41 	5833415,95 	93,00 
573857,21 	5833413,52 	93,00 
574012,48 	5833400,56 	93,00 
574063,15 	5833392,97 	93,00 
574137,71 	5833371,91 	93,00 
574254,97 	5833334,36 	93,00 
573654,13 	5833388,15 	92,00 
573761,87 	5833395,93 	92,00 
573856,13 	5833393,54 	92,00 
574010,17 	5833380,68 	92,00 
574058,93 	5833373,37 	92,00 
574131,95 	5833352,75 	92,00 
574255,27 	5833313,27 	92,00 
573654,41 	5833368,11 	91,00 
573762,34 	5833375,91 	91,00 
573855,04 	5833373,56 	91,00 
574007,85 	5833360,80 	91,00 
574054,71 	5833353,78 	91,00 
574126,18 	5833333,60 	91,00 
574255,56 	5833292,17 	91,00 
573654,69 	5833348,08 	90,00 
573762,81 	5833355,89 	90,00 
573853,95 	5833353,58 	90,00 
574005,53 	5833340,93 	90,00 
574050,50 	5833334,19 	90,00 
574120,41 	5833314,44 	90,00 
574255,85 	5833271,08 	90,00 
573654,96 	5833328,05 	89,00 
573763,28 	5833335,87 	89,00 
573852,87 	5833333,60 	89,00 
574003,22 	5833321,05 	89,00 
574046,28 	5833314,60 	89,00 
574114,64 	5833295,29 	89,00 
574256,14 	5833249,98 	89,00 
